 ,贷款数额,评级,工作年限,是否拥有房屋,年收入,贷款状态
0,5000.0,B,10+ years,RENT,24000.0,Fully Paid
1,2500.0,C,< 1 year,RENT,30000.0,Charged Off
2,12500.0,D,10+ years,RENT,74400.0,Fully Paid
3,14000.0,A,10+ years,RENT,72000.0,fully Paid
4,35000.0,F,4 years,MORTGAGE,100000.0,Fully Paid
5,16000.0,C,10+ years,OWN,,Charged Off
6,14125.0,B,10+ years,OWN,60000.0,Fully Paid
7,5000.0,B,4 years,RENT,49000.0, Fully Paid
8,6000.0,A,10+ years,MORTGAGE,48000.0,Fully Paid
9,12000.0,C,< 1 year,MORTGAGE,81996.0,Fully Paid
10,4000.0,D,10+ years,MORTGAGE,40000.0,Fully Paid
11,8000.0,B,1 year,RENT,42000.0,Charged Off
12,27000.0,D,6 years,MORTGAGE,83004.0,Fully Paid
13,25000.0,C,10+ years,RENT,79000.0,Fully Paid
14,17600.0,D,8 years,RENT,72000.0,Fully Paid
15,20000.0,D,4 years,RENT,40000.0,  Charged Off
16,12400.0,C,10+ years,RENT,65000.0,Fully Paid
17,6000.0,D,< 1 year,MORTGAGE,60000.0,Charged Off
18,12800.0,A,10+ years,MORTGAGE,100000.0,Fully Paid
19,2100.0,A,1 year,MORTGAGE,72000.0,Fully Paid
20,17325.0,F,9 years,RENT,35004.0,Charged Off
21,5000.0,C,10+ years,MORTGAGE,69000.0,Fully Paid
22,24175.0,B,9 years,MORTGAGE,95000.0,charged Off
23,30000.0,E,1 year,MORTGAGE,100000.0,Fully Paid
24,35000.0,E,10+ years,RENT,106000.0,Fully Paid
25,18000.0,A,8 years,MORTGAGE,82000.0,Fully Paid
26,30000.0,E,1 year,MORTGAGE,100000.0,Fully Paid
27,35000.0,E,10+ years,RENT,106000.0,Fully Paid
28,18000.0,A,8 years,MORTGAGE,82000.0,Fully Paid
29,,A,10+ years,RENT,58000.0,Fully Paid
30,12000.0,C,10+ years,MORTGAGE,75000.0,Fully Paid
31,12000.0,A,1 year,RENT,105000.0,Fully Paid
32,5000.0,A,9 years,OWN,56400.0,Charged Off
33,20000.0,C,3 years,MORTGAGE,126251.0,Fully Paid
34,8000.0,D,< 1 year,RENT,41600.0, Fully Paid
35,12000.0,C,10+ years,RENT,96000.0,fully Paid
36,10000.0,C,2 years,MORTGAGE,,Fully Paid
37,6000.0,D,< 1 year,MORTGAGE,60000.0,Charged Off
38,15000.0,A,10+ years,MORTGAGE,55000.0,Fully Paid
39,8000.0,B,5 years,MORTGAGE,550000.0,Fully Paid
40,7200.0,C,10+ years,RENT,68400.0,Fully Paid
41,14000.0,A,10+ years,OWN,71000.0,fully Paid
42,7500.0,B,1 year,RENT,35004.0,Fully Paid
43,6600.0,A,8 years,MORTGAGE,55800.0,Fully Paid
44,12000.0,C,5 years,RENT,45600.0,Fully Paid
45,,B,8 years,MORTGAGE,62400.0,Charged Off
46,2000.0,A,,OWN,16000.0,Fully Paid
47,13000.0,D,10+ years,MORTGAGE,25000.0,fully Paid
48,1800.0,C,6 years,OWN,45600.0, Fully Paid
49,6000.0,A,8 years,RENT,82000.0,Fully Paid
50,7000.0,B,10+ years,MORTGAGE,102660.0,Fully Paid
51,25000.0,E,10+ years,RENT,56000.0,Fully Paid
52,4000.0,B,2 years,RENT,16800.0,Fully Paid
53,1800.0,C,6 years,OWN,45600.0,Fully Paid
54,6000.0,A,8 years,RENT,82000.0,Fully Paid
55,7000.0,B,10+ years,MORTGAGE,102660.0,fully Paid
56,500000.0,E,10+ years,RENT,56000.0,Fully Paid
57,4000.0,B,2 years,RENT,16800.0,Fully Paid
58,6000.0,D,2 years,RENT,48000.0,   Fully Paid
59,25000.0,B,6 years,RENT,60000.0,Fully Paid
60,4000.0,B,2 years,RENT,,Fully Paid
61,24250.0,B,10+ years,MORTGAGE,140000.0,Fully Paid
62,8000.0,B,2 years,RENT,63000.0,Fully Paid
63,9000.0,B,5 years,MORTGAGE,54000.0,Fully Paid
64,8000.0,A,5 years,MORTGAGE,38000.0,Fully Paid
65,2000.0,A,2 years,MORTGAGE,44000.0, Fully Paid
66,8000.0,B,2 years,RENT,63000.0,Fully Paid
67,17600.0,D,8 years,RENT,72000.0,Fully Paid
